Suburbs,Latitude,Longitude
"Alexandria, New Sout",-33.91236999999995,151.19703000000004
"Annandale, New Sout",-33.88004999999998,151.1713000000001
"Arncliffe, New Sout",-33.93664999999993,151.14679
"Artarmon, New Sout",-33.80813999999998,151.18380000000002
"Ashfield, New Sout",-33.88919999999996,151.12543000000005
"Asquith, New Sout",-33.68870999999996,151.1094700000001
"Auburn, New Sout",-33.84847999999994,151.02951000000007
"Audley, New Sout",-33.897596293986226,151.15457075339873
"Avalon Beach, New Sout",-33.63582999999994,151.3280000000001
"Balmain East, New Sout",-33.85767999999996,151.19137000000012
"Balmain, New Sout",-33.85599999999994,151.17587000000003
"Bankstown, New Sout",-33.914589999999976,151.03428000000008
"Bargo, New Sout",-34.078586609872424,151.12971865435884
"Baulkham Hills, New Sout",-33.75758999999994,150.9896000000001
"Bella Vista, New Sout",-33.73795999999993,150.95551000000012
"Bellevue Hill, New Sout",-33.87884999999994,151.25407000000007
"Belrose, New Sout",-33.728569999999934,151.22090000000003
"Birchgrove, New Sout",-33.76243997540439,151.0030350838802
"Bondi Beach, New Sout",-33.88865999999996,151.27786000000003
"Bondi Junction, New Sout",-33.892409999999984,151.24732000000006
"Bondi, New Sout",-33.89497610539754,151.27326884516557
"Botany, New Sout",-33.94516999999996,151.19676000000004
"Bronte, New Sout",-33.90286999999995,151.26001000000008
"Brooklyn, New Sout",-33.02446214157364,149.87853450229323
"Burwood, New Sout",-33.87768999999997,151.10548000000006
"Cabramatta, New Sout",-33.894979999999975,150.93853000000001
"Camellia, New Sout",-33.82034999999996,151.03160000000003
"Campbelltown, New Sout",-34.06407999999993,150.81658000000004
"Camperdown, New Sout",-33.88805999999994,151.18321000000003
"Canterbury, New Sout",-33.89996277575539,151.14497365568775
"Caringbah South, New Sout",-34.05686999999995,151.12111000000004
"Castle Hill, New Sout",-33.73151999999993,151.0039200000001
"Castlecrag, New Sout",-33.80237999999997,151.21239000000003
"Centennial Park, New Sout",-33.89818999999994,151.23300000000006
"Chatswood West, New Sout",-33.792569999999955,151.15949000000012
"Chatswood, New Sout",-33.79603999999995,151.18387000000007
"Chester Hill, New Sout",-33.88299999999998,151.00004
"Chippendale, New Sout",-33.88845999999995,151.19811000000004
"Concord, New Sout",-33.85607999999996,151.10325000000012
"Coogee, New Sout",-33.92065999999994,151.25562000000002
"Cremorne, New Sout",-33.829909999999984,151.22726000000011
"Cronulla, New Sout",-34.055159999999944,151.1533300000001
"Crows Nest, New Sout",-33.82515999999998,151.20089000000007
"Croydon, New Sout",-33.87609999999995,151.11386000000005
"Darling Point, New Sout",-33.87066999999996,151.2361800000001
"Darlinghurst, New Sout",-33.87914999999998,151.22021000000007
"Darlington, New Sout",-33.89184999999998,151.19356000000005
"Dawes Point, New Sout",-33.85550999999998,151.20825000000002
"Denistone, New Sout",-33.796419999999955,151.08832000000007
"Double Bay, New Sout",-33.877299999999934,151.24421000000007
"Earlwood, New Sout",-33.926909999999964,151.12498000000005
"Eastwood, New Sout",-33.79139999999995,151.08037000000002
"Elizabeth Bay, New Sout",-33.86605253623149,151.19124187677693
"Emu Plains, New Sout",-33.753469999999936,150.6599000000001
"Epping, New Sout",-33.77684999999997,151.0721400000001
"Frenchs Forest, New Sout",-33.750819999999976,151.2347900000001
"Galston, New Sout",-33.66505501087224,151.08025252548126
"Gladesville, New Sout",-33.83135999999996,151.1262700000001
"Glebe, New Sout",-33.87713999999994,151.18491000000006
"Glenfield, New Sout",-33.97143999999997,150.89440000000002
"Gordon, New Sout",-33.75691999999998,151.15308000000005
"Gore Hill, New Sout",-33.82048421792391,151.2042054607332
"Granville, New Sout",-33.83302999999995,151.00965000000008
"Haberfield, New Sout",-33.88098999999994,151.13926000000004
"Haymarket, New Sout",-33.87964999999997,151.20526000000007
"Heathcote, New Sout",-34.087129999999945,151.00669000000005
"Hornsby, New Sout",-33.70071999999993,151.09688000000006
"Hunters Hill, New Sout",-33.834589999999935,151.15257000000008
"Hurstville, New Sout",-33.885109078873796,150.90907790646725
"Kensington, New Sout",-33.90946086825293,151.22105326349748
"Killara, New Sout",-33.76559999999995,151.15682000000004
"Kings Cross, New Sout",-33.87504999999993,151.2222200000001
"Kogarah, New Sout",-33.96286999999995,151.1328900000001
"Kurnell, New Sout",-34.009559999999965,151.21531000000004
"Kyeemagh, New Sout",-33.949859999999944,151.16380000000004
"La Perouse, New Sout",-33.987949999999955,151.23110000000008
"Lane Cove, New Sout",-33.81346999999994,151.1701700000001
"Leumeah, New Sout",-34.05097999999998,150.83518000000004
"Lewisham, New Sout",-33.893329999999935,151.14699000000007
"Lidcombe, New Sout",-33.864829999999984,151.0407100000001
"Lilyfield, New Sout",-33.87378999999993,151.16244000000006
"Lindfield, New Sout",-33.77518999999995,151.16867000000002
"Little Bay, New Sout",-33.98291999999998,151.24238000000003
"Liverpool, New Sout",-33.92244999999997,150.92311000000007
"Lucas Heights, New Sout",-34.046389999999974,150.9873500000001
"Macquarie Fields, New Sout",-33.98501999999996,150.89386000000002
"Malabar, New Sout",-33.962309999999945,151.24698000000012
"Manly, New Sout",-33.79470999999995,151.2872400000001
"Maroubra, New Sout",-33.94150999999994,151.2383400000001
"Marrickville, New Sout",-33.91252999999995,151.1605300000001
"Marsfield, New Sout",-33.78031999999996,151.1023600000001
"Menangle Park, New Sout",-34.060662977510525,150.69549335298592
"Millers Point, New Sout",-33.85832999999997,151.2033600000001
"Milsons Point, New Sout",-33.84693999999996,151.21148000000005
"Moore Park, New Sout",-33.89621999999997,151.2252800000001
"Mosman, New Sout",-33.82447999999994,151.24026000000003
"Mulgoa, New Sout",-33.766318778245754,150.67929804480792
"Narellan, New Sout",-34.03798537324785,150.73602772098022
"Neutral Bay, New Sout",-33.83049999999997,151.21969
"Newtown, New Sout",-33.89857999999998,151.17613000000006
"North Bondi, New Sout",-33.884709999999984,151.2761200000001
"North Parramatta, New Sout",-33.79831999999993,151.01042000000007
"North Sydney, New Sout",-33.83920999999998,151.20721000000003
"Oran Park, New Sout",-34.00611999999995,150.72373000000005
"Orchard Hills, New Sout",-33.77990999999997,150.72226000000012
"Paddington, New Sout",-33.8859025717339,151.23319990558426
"Palm Beach, New Sout",-33.59242999999998,151.32330000000002
"Penrith, New Sout",-33.75373999999994,150.69820000000004
"Penshurst, New Sout",-33.969389999999976,151.0920900000001
"Petersham, New Sout",-33.89626999999996,151.15390000000002
"Picton, New Sout",-33.89443495957853,150.85924508555757
"Point Piper, New Sout",-33.86745999999994,151.2534700000001
"Potts Point, New Sout",-33.87156999999996,151.22288000000003
"Prospect, New Sout",-33.79962999999998,150.91699000000006
"Pymble, New Sout",-33.740279999999984,151.1371600000001
"Pyrmont, New Sout",-33.87075999999996,151.1956100000001
"Randwick, New Sout",-33.948592418919404,150.89611842731034
"Redfern, New Sout",-33.893149999999935,151.20670000000007
"Richmond, New Sout",-33.60485985099996,150.75760829800004
"Rockdale, New Sout",-33.951809999999966,151.1381100000001
"The Rocks, New Sout",-33.858499999999935,151.2090700000001
"Rooty Hill, New Sout",-33.77027999999996,150.83483
"Rose Bay, New Sout",-33.87025999999997,151.26884000000007
"Roseville, New Sout",-33.78367999999995,151.17578000000003
"Rouse Hill, New Sout",-33.67840999999993,150.92222000000004
"Rozelle, New Sout",-33.863309999999956,151.1704400000001
"Rushcutters Bay, New Sout",-33.87542999999994,151.22589000000005
"Ryde, New Sout",-33.81300999999996,151.10503000000006
"Seven Hills, New Sout",-33.77553999999998,150.93420000000003
"Silverwater, New Sout",-33.83541999999994,151.0454800000001
"St Ives, New Sout",-33.73775999999998,151.16568000000007
"St Leonards, New Sout",-33.82466999999997,151.19231000000002
"St Marys, New Sout",-33.747229999999945,150.7716200000001
"Stanmore, New Sout",-33.89369999999997,151.1642200000001
"Strathfield, New Sout",-33.871419999999944,151.09264000000007
